FalsePositionBook MethodIteration: 0, a: -1.0000000000, b: 1.0000000000, midpoint: 0.8000000000, f(p): 0.8640000000
Iteration: 1, a: -1.0000000000, b: 0.8000000000, midpoint: -0.1000000000, f(p): -0.3420000000
Iteration: 2, a: -0.1000000000, b: 0.8000000000, midpoint: 0.3500000000, f(p): 0.6457500000
Iteration: 3, a: -0.1000000000, b: 0.3500000000, midpoint: 0.1250000000, f(p): 0.3164062500
Iteration: 4, a: -0.1000000000, b: 0.1250000000, midpoint: 0.0125000000, f(p): 0.0368789063
Iteration: 5, a: -0.1000000000, b: 0.0125000000, midpoint: -0.0437500000, f(p): -0.1390737305
Iteration: 6, a: -0.0437500000, b: 0.0125000000, midpoint: -0.0156250000, f(p): -0.0478591919
Iteration: 7, a: -0.0156250000, b: 0.0125000000, midpoint: -0.0015625000, f(p): -0.0046972733
Iteration: 8, a: -0.0015625000, b: 0.0125000000, midpoint: 0.0054687500, f(p): 0.0162869482
Iteration: 9, a: -0.0015625000, b: 0.0054687500, midpoint: 0.0019531250, f(p): 0.0058441311
Iteration: 10, a: -0.0015625000, b: 0.0019531250, midpoint: 0.0001953125, f(p): 0.0005857849
Iteration: 11, a: -0.0015625000, b: 0.0001953125, midpoint: -0.0006835937, f(p): -0.0020526511
Iteration: 12, a: -0.0006835937, b: 0.0001953125, midpoint: -0.0002441406, f(p): -0.0007326603
Iteration: 13, a: -0.0002441406, b: 0.0001953125, midpoint: -0.0000244141, f(p): -0.0000732446
Iteration: 14, a: -0.0000244141, b: 0.0001953125, midpoint: 0.0000854492, f(p): 0.0002563185
Iteration: 15, a: -0.0000244141, b: 0.0000854492, midpoint: 0.0000305176, f(p): 0.0000915490
Iteration: 16, a: -0.0000244141, b: 0.0000305176, midpoint: 0.0000030518, f(p): 0.0000091552
Iteration: 17, a: -0.0000244141, b: 0.0000030518, midpoint: -0.0000106812, f(p): -0.0000320439
Iteration: 18, a: -0.0000106812, b: 0.0000030518, midpoint: -0.0000038147, f(p): -0.0000114442
Iteration: 19, a: -0.0000038147, b: 0.0000030518, midpoint: -0.0000003815, f(p): -0.0000011444
Iteration: 20, a: -0.0000003815, b: 0.0000030518, midpoint: 0.0000013351, f(p): 0.0000040054
Iteration: 21, a: -0.0000003815, b: 0.0000013351, midpoint: 0.0000004768, f(p): 0.0000014305
Iteration: 22, a: -0.0000003815, b: 0.0000004768, midpoint: 0.0000000477, f(p): 0.0000001431
