FalsePosition Method 
Iteration: 0, a: -3.000000000000000, b: 3.000000000000000, new point: -2.320116467223012, f(p): -2.221854326603765
Iteration: 1, a: -2.320116467223012, b: 3.000000000000000, new point: -2.320116467223012, f(p): -2.221854326603765
Iteration: 2, a: -1.853038542277555, b: 3.000000000000000, new point: -1.853038542277555, f(p): -1.696278422611134
Iteration: 3, a: -1.520855268030006, b: 3.000000000000000, new point: -1.520855268030006, f(p): -1.302330358393226
Iteration: 4, a: -1.279438214481248, b: 3.000000000000000, new point: -1.279438214481248, f(p): -1.001244672816070
Iteration: 5, a: -1.101549578848593, b: 3.000000000000000, new point: -1.101549578848593, f(p): -0.769193905703341
Iteration: 6, a: -0.969295437620997, b: 3.000000000000000, new point: -0.969295437620997, f(p): -0.589945217758376
Iteration: 7, a: -0.870388608718669, b: 3.000000000000000, new point: -0.870388608718669, f(p): -0.451599836065518
Iteration: 8, a: -0.796128647573648, b: 3.000000000000000, new point: -0.796128647573648, f(p): -0.345056801202007
Iteration: 9, a: -0.740223960586585, b: 3.000000000000000, new point: -0.740223960586585, f(p): -0.263216887813209
Iteration: 10, a: -0.698059392892777, b: 3.000000000000000, new point: -0.698059392892777, f(p): -0.200509476467145
Iteration: 11, a: -0.666216462577894, b: 3.000000000000000, new point: -0.666216462577894, f(p): -0.152568149020613
Iteration: 12, a: -0.642146175527107, b: 3.000000000000000, new point: -0.642146175527107, f(p): -0.115984200075707
Iteration: 13, a: -0.623939118822374, b: 3.000000000000000, new point: -0.623939118822374, f(p): -0.088109540212176
Iteration: 14, a: -0.610160380546520, b: 3.000000000000000, new point: -0.610160380546520, f(p): -0.066896647393714
Iteration: 15, a: -0.599729182233137, b: 3.000000000000000, new point: -0.599729182233137, f(p): -0.050768898070034
Iteration: 16, a: -0.591830156116159, b: 3.000000000000000, new point: -0.591830156116159, f(p): -0.038516449066550
Iteration: 17, a: -0.585847444476609, b: 3.000000000000000, new point: -0.585847444476609, f(p): -0.029213498960243
Iteration: 18, a: -0.581315483340207, b: 3.000000000000000, new point: -0.581315483340207, f(p): -0.022153169509531
Iteration: 19, a: -0.577882102995773, b: 3.000000000000000, new point: -0.577882102995773, f(p): -0.016796672761570
Iteration: 20, a: -0.575280785054713, b: 3.000000000000000, new point: -0.575280785054713, f(p): -0.012733893185313
Iteration: 21, a: -0.573309761163517, b: 3.000000000000000, new point: -0.573309761163517, f(p): -0.009652982482934
Iteration: 22, a: -0.571816242527321, b: 3.000000000000000, new point: -0.571816242527321, f(p): -0.007317002984460
Iteration: 23, a: -0.570684507567663, b: 3.000000000000000, new point: -0.570684507567663, f(p): -0.005546042852202
Iteration: 24, a: -0.569826896457791, b: 3.000000000000000, new point: -0.569826896457791, f(p): -0.004203554828178
Iteration: 25, a: -0.569176999023878, b: 3.000000000000000, new point: -0.569176999023878, f(p): -0.003185940759874
Iteration: 26, a: -0.568684499436638, b: 3.000000000000000, new point: -0.568684499436638, f(p): -0.002414622156568
Iteration: 27, a: -0.568311273399447, b: 3.000000000000000, new point: -0.568311273399447, f(p): -0.001830010012152
Iteration: 28, a: -0.568028432771683, b: 3.000000000000000, new point: -0.568028432771683, f(p): -0.001386922807183
Iteration: 29, a: -0.567814087194806, b: 3.000000000000000, new point: -0.567814087194806, f(p): -0.001051107111144
Iteration: 30, a: -0.567651648520310, b: 3.000000000000000, new point: -0.567651648520310, f(p): -0.000796596731608
Iteration: 31, a: -0.567528546268483, b: 3.000000000000000, new point: -0.567528546268483, f(p): -0.000603709051163
Iteration: 32, a: -0.567435254396620, b: 3.000000000000000, new point: -0.567435254396620, f(p): -0.000457525232875
Iteration: 33, a: -0.567364553883840, b: 3.000000000000000, new point: -0.567364553883840, f(p): -0.000346737686838
Iteration: 34, a: -0.567310973966706, b: 3.000000000000000, new point: -0.567310973966706, f(p): -0.000262776188184
Iteration: 35, a: -0.567270368729200, b: 3.000000000000000, new point: -0.567270368729200, f(p): -0.000199145356454
Iteration: 36, a: -0.567239596250166, b: 3.000000000000000, new point: -0.567239596250166, f(p): -0.000150922421592
Iteration: 37, a: -0.567216275461898, b: 3.000000000000000, new point: -0.567216275461898, f(p): -0.000114376524223
Iteration: 38, a: -0.567198601895168, b: 3.000000000000000, new point: -0.567198601895168, f(p): -0.000086680155671
