FixedPt Method 
Iteration: 0 x: 1.000000000000000  error: N/A
Iteration: 1 x: -0.166666666666667  error: 1.166666666666667
Iteration: 2 x: 0.026556621373329  error: 1.159339728239972
Iteration: 3 x: -0.004226741774888  error: 1.159159620324765
Iteration: 4 x: 0.000672707347403  error: 1.159155061565389
Iteration: 5 x: -0.000107064701612  error: 1.159154946092863
Iteration: 6 x: 0.000017039876500  error: 1.159154943167911
Iteration: 7 x: -0.000002711980575  error: 1.159154943093821
Iteration: 8 x: 0.000000431625114  error: 1.159154943091944
Iteration: 9 x: -0.000000068695270  error: 1.159154943091897
Iteration: 10 x: 0.000000010933192  error: 1.159154943091895
Iteration: 11 x: -0.000000001740072  error: 1.159154943091895
Iteration: 12 x: 0.000000000276941  error: 1.159154943091895
Iteration: 13 x: -0.000000000044077  error: 1.159154943091895
Iteration: 14 x: 0.000000000007015  error: 1.159154943091895
Iteration: 15 x: -0.000000000001116  error: 1.159154943091895
Iteration: 16 x: 0.000000000000178  error: 1.159154943091895
Iteration: 17 x: -0.000000000000028  error: 1.159154943091895
Iteration: 18 x: 0.000000000000005  error: 1.159154943091895
Iteration: 19 x: -0.000000000000001  error: 1.159154943091895
Iteration: 20 x: 0.000000000000000  error: 1.159154943091895
Iteration: 21 x: -0.000000000000000  error: 1.159154943091895
Iteration: 22 x: 0.000000000000000  error: 1.159154943091895
Iteration: 23 x: -0.000000000000000  error: 1.159154943091895
Iteration: 24 x: 0.000000000000000  error: 1.159154943091895
Iteration: 25 x: -0.000000000000000  error: 1.159154943091895
Iteration: 26 x: 0.000000000000000  error: 1.159154943091895
Iteration: 27 x: -0.000000000000000  error: 1.159154943091895
Iteration: 28 x: 0.000000000000000  error: 1.159154943091895
Iteration: 29 x: -0.000000000000000  error: 1.159154943091895
Iteration: 30 x: 0.000000000000000  error: 1.159154943091895
Iteration: 31 x: -0.000000000000000  error: 1.159154943091895
Iteration: 32 x: 0.000000000000000  error: 1.159154943091895
Iteration: 33 x: -0.000000000000000  error: 1.159154943091895
Iteration: 34 x: 0.000000000000000  error: 1.159154943091895
Iteration: 35 x: -0.000000000000000  error: 1.159154943091895
Iteration: 36 x: 0.000000000000000  error: 1.159154943091895
Iteration: 37 x: -0.000000000000000  error: 1.159154943091895
Iteration: 38 x: 0.000000000000000  error: 1.159154943091895
Iteration: 39 x: -0.000000000000000  error: 1.159154943091895
Iteration: 40 x: 0.000000000000000  error: 1.159154943091895
Iteration: 41 x: -0.000000000000000  error: 1.159154943091895
Iteration: 42 x: 0.000000000000000  error: 1.159154943091895
Iteration: 43 x: -0.000000000000000  error: 1.159154943091895
Iteration: 44 x: 0.000000000000000  error: 1.159154943091895
Iteration: 45 x: -0.000000000000000  error: 1.159154943091895
Iteration: 46 x: 0.000000000000000  error: 1.159154943091895
Iteration: 47 x: -0.000000000000000  error: 1.159154943091895
Iteration: 48 x: 0.000000000000000  error: 1.159154943091895
Iteration: 49 x: -0.000000000000000  error: 1.159154943091895
Iteration: 50 x: 0.000000000000000  error: 1.159154943091895
